"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"empPrCORROC",0.27536231884058,0.260869565217391,0.101449275362319,0.0434782608695652,0,0.0144927536231884,0.0579710144927536,0.0434782608695652,0.0144927536231884,0,0.0289855072463768,0,0.072463768115942,0.0434782608695652,0,0.0144927536231884,0.0144927536231884,0,0,0,0,0.0144927536231884,0,0,0,0.0222222222222222,0,0.0444444444444444,0,0.0222222222222222,0,0,0.0222222222222222,0,0,0,0,0,0.0444444444444444,0,0,0,0.0444444444444444,0.0444444444444444,0.133333333333333,0,0,0.0222222222222222,0.0222222222222222,0.577777777777778,0.130434782608696,0.115942028985507,0.0579710144927536,0,0,0.202898550724638,0.231884057971014,0.0434782608695652,0.0289855072463768,0,0,0.0434782608695652,0.0144927536231884,0,0.0144927536231884,0.0289855072463768,0.0434782608695652,0,0.0144927536231884,0,0,0.0144927536231884,0,0.0144927536231884,0,0,0,0,0,0,0.0222222222222222,0.0222222222222222,0.0888888888888889,0.0222222222222222,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0.0222222222222222,0,0,0.0222222222222222,0,0,0.0222222222222222,0.0666666666666667,0.666666666666667,0.173913043478261,0.333333333333333,0.0579710144927536,0,0,0.0869565217391304,0.144927536231884,0.0434782608695652,0,0,0.0434782608695652,0.0579710144927536,0.0289855072463768,0,0,0,0.0144927536231884,0,0,0,0,0.0144927536231884,0,0,0,0,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.0666666666666667,0,0.0444444444444444,0.0888888888888889,0.0222222222222222,0,0,0,0.0444444444444444,0,0.0222222222222222,0.0222222222222222,0,0.0222222222222222,0,0.0666666666666667,0,0,0.0444444444444444,0.0444444444444444,0.422222222222222
"estPrCORROC",0.271655285957682,0.234774860140743,0.14655501666571,0.034382543915777,0.00268508784741954,0.0296706151249467,0.0420755599748158,0.0368814116564092,0.011961149328208,0.00128015370762644,0.0244544849657768,0.0414524311024505,0.0423503136109791,0.0162009376827762,0.00208335152108769,0.00735814073364699,0.0160232664106301,0.0204261169980717,0.00990989702147603,0.00166209842971787,0.00045929381340582,0.00138292006145171,0.00236756940723469,0.00157195253570775,0.000375541386250408,0.0140505404445814,0.0167322251409294,0.0216268988262416,0.0156200344689774,0.00655775280565653,0.00150591440321086,0.00440103897679545,0.00982819185148054,0.0114484317943436,0.00789474958923897,0.00151468053822258,0.00599104117035776,0.0177999078749977,0.0282616573798696,0.0298395940857535,0.000695853931569734,0.00422495920784638,0.0191331613134839,0.0480286172375627,0.102677635314005,9.76071803547984e-05,0.0010411148042262,0.00850734747982806,0.0419527157920775,0.580568328388389,0.142911331572407,0.115292172269634,0.0283427231455457,0.00782064622832634,0.00126693381093486,0.186486395851613,0.235793585267844,0.0802941327245628,0.0282465304709795,0.00602258572207789,0.0150034008512317,0.0256258022008195,0.010824415962021,0.00446040674232796,0.00113282341415002,0.0160978209795994,0.0307703726593964,0.0141757074876418,0.00625265640237556,0.00172051465236229,0.00755950079669131,0.0177810239132111,0.00966110863206406,0.00487457421826684,0.00158283402391579,0.0125961823674812,0.00518931599678492,0.00155584615152913,0.000656995695806208,0.00023760696351138,0.0193333500735907,0.0317566306452438,0.0215521707576823,0.0172393185418229,0.0153049523693604,0.00206319919202385,0.00702499412587043,0.00730264510878165,0.00793891991385753,0.0107734737580444,0.00251782265443636,0.0115644493572601,0.0149359837336397,0.0195529539488082,0.0371651631312545,0.00152872960095789,0.0126672013651563,0.0263689131470385,0.0556265427366852,0.657546638663373,0.182600317216662,0.31541449213873,0.0648663342796948,0.000256786639914575,2.76328093656901e-05,0.0824439567276756,0.166123386974261,0.0395825229572215,0.00018876800632165,2.16558702822087e-05,0.0281272614750711,0.0621954975841361,0.0162386260270689,8.71908672883025e-05,1.04328127116626e-05,0.00749130284336141,0.0178505315813186,0.00501699714005764,2.9632428371666e-05,3.66881331136957e-06,0.0026136717393699,0.00674230771560402,0.00205184061610746,1.34538972155765e-05,1.73083887731038e-06,0.0187270132949205,0.0338572714792977,0.0573418690181788,0.0136350912591504,0.0306857463128514,0.00439656759531006,0.0147916249893948,0.0408069659216213,0.0133512860315547,0.0425251436367244,0.00233076094201972,0.00989423197535177,0.0345276603603578,0.0132615820233994,0.0531065474144731,0.00119408233891655,0.00607278101219422,0.0255806795832536,0.0111209789322514,0.054343307332662,0.0015101101398101,0.0105514874501845,0.0662342981075916,0.0381789232128439,0.401973989635686
